fecha,equipo,temp,cantidad,lat,lon
2015-09-10 23:58:29,861001000767554,29.3,2,10.00060095,-69.2153375
2015-09-10 23:55:02,861001000767885,28.7,1,10.1813730167,-68.8873342833
2015-09-10 23:53:09,861001000767554,29.45,2,10.00060095,-69.2153375
2015-09-10 23:49:41,861001000767885,28.8,1,10.1813826,-68.8873124
2015-09-10 23:47:39,861001000767554,29.5,2,10.00060095,-69.2153375
2015-09-10 23:44:12,861001000767885,28.8,1,10.18131325,-68.8873293667
2015-09-10 23:42:13,861001000767554,29.6,2,10.00060095,-69.2153375
2015-09-10 23:38:58,861001000767885,28.8,1,10.18131325,-68.8873293667
2015-09-10 23:36:47,861001000767554,29.65,2,10.00060095,-69.2153375
2015-09-10 23:33:26,861001000767885,28.8,1,10.1813073833,-68.8873341333
2015-09-10 23:31:22,861001000767554,29.75,2,10.00060095,-69.2153375
2015-09-10 23:27:59,861001000767885,28.9,1,10.1805684667,-68.8876551833
2015-09-10 23:25:58,861001000767554,29.8,2,10.00060095,-69.2153375
2015-09-10 23:22:45,861001000767885,29,1,10.1805684667,-68.8876551833
2015-09-10 23:20:45,861001000767554,29.95,2,10.00060095,-69.2153375
2015-09-10 23:17:17,861001000767885,29,1,10.18059165,-68.88769025
2015-09-10 23:15:18,861001000767554,30.05,2,10.00060095,-69.2153375
2015-09-10 23:09:51,861001000767554,30.15,2,10.00060095,-69.2153375
2015-09-10 23:04:25,861001000767554,30.2,2,10.00060095,-69.2153375
2015-09-10 22:59:01,861001000767554,30.25,2,10.00060095,-69.2153375
2015-09-10 22:53:34,861001000767554,30.35,2,10.00060095,-69.2153375
2015-09-10 22:48:10,861001000767554,30.4,2,10.00060095,-69.2153375
2015-09-10 22:45:00,861001000767885,29.1,1,10.08646715,-69.1254964667
2015-09-10 22:42:44,861001000767554,30.5,2,10.00060095,-69.2153375
2015-09-10 22:37:16,861001000767554,30.7,2,10.00060095,-69.2153375
2015-09-10 22:34:14,861001000767885,29.1,1,10.0912886,-69.2042023167
